addr,coordinates,distance_to_mrt
145 BEDOK RESERVOIR RD SINGAPORE,"(1.3343129, 103.9119974)",0.399939150759
717 BEDOK RESERVOIR RD SINGAPORE,"(1.3376649, 103.925641362808)",0.742302601181
666 JLN DAMAI SINGAPORE,"(1.3337504, 103.9080098)",0.144261437121
116 LENGKONG TIGA SINGAPORE,"(1.32287995, 103.912120800616)",0.224549228125
629 BEDOK RESERVOIR RD SINGAPORE,"(1.3345915, 103.9144444)",0.393205305834
96 BEDOK NTH AVE 4 SINGAPORE,"(1.3331979, 103.9403668)",0.942644256717
99 BEDOK NTH AVE 4 SINGAPORE,"(1.3338248, 103.9395057)",0.865501680251
505 BEDOK NTH AVE 3 SINGAPORE,"(1.331848, 103.9333872)",0.544556548147
102 LENGKONG TIGA SINGAPORE,"(1.3255516, 103.910657612208)",0.562824041665
72 BEDOK STH AVE 3 SINGAPORE,"(1.3219218, 103.93321275)",0.425633109567
719 BEDOK RESERVOIR RD SINGAPORE,"(1.3364895, 103.925037963513)",0.800122501004
220B BEDOK CTRL SINGAPORE,"(1.3256922, 103.9344209)",0.528648613521
110 LENGKONG TIGA SINGAPORE,"(1.3240227, 103.9106676)",0.417695471339
160 BEDOK STH AVE 3 SINGAPORE,"(1.3219218, 103.93321275)",0.425633109567
103 LENGKONG TIGA SINGAPORE,"(1.3260173, 103.910701145193)",0.607442452491
10E BEDOK STH AVE 2 SINGAPORE,"(1.32163855, 103.937066877806)",0.829246221351
115 BEDOK NTH RD SINGAPORE,"(1.3269887, 103.933090797197)",0.480799634455
403 SIN MING AVE SINGAPORE,"(1.36284955, 103.833089969646)",0.109437760094
150A BISHAN ST 11 SINGAPORE,"(1.34469605, 103.855922931822)",1.07551503346
115 BISHAN ST 12 SINGAPORE,"(1.3480033, 103.8483915)",0.342627402016
116 BISHAN ST 12 SINGAPORE,"(1.347461, 103.849545829634)",0.413909303414
111 BISHAN ST 12 SINGAPORE,"(1.347053, 103.8481197)",0.450954195496
153 BISHAN ST 13 SINGAPORE,"(1.3461525, 103.854842958828)",0.879502139317
455 SIN MING AVE SINGAPORE,"(1.3587839, 103.830372350781)",0.560983192535
445 SIN MING AVE SINGAPORE,"(1.358732, 103.8316987)",0.498058343627
239 BISHAN ST 22 SINGAPORE,"(1.36039225, 103.844795668263)",1.12121881589
233 BISHAN ST 22 SINGAPORE,"(1.3586476, 103.8455353)",0.910528507661
171 BISHAN ST 13 SINGAPORE,"(1.3468013, 103.8536456)",0.730888266054
285 BISHAN ST 22 SINGAPORE,"(1.3588413, 103.843853477621)",1.01498218833
140 BISHAN ST 12 SINGAPORE,"(1.34487555, 103.852848469417)",0.831987679228
267 BISHAN ST 24 SINGAPORE,"(1.3574528, 103.843012173826)",0.946460448421
224 BISHAN ST 23 SINGAPORE,"(1.358992, 103.8477574)",0.88602335438
223 BISHAN ST 23 SINGAPORE,"(1.35843835, 103.848311917813)",0.819754670727
236 BISHAN ST 22 SINGAPORE,"(1.3590695, 103.8470327)",0.907055271001
157 BISHAN ST 13 SINGAPORE,"(1.34594535, 103.856551107707)",1.04728289169
290 BISHAN ST 24 SINGAPORE,"(1.3561889, 103.844904)",0.704861270846
